AircraftID,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1185S,GLIDER,1972,,SGS-233,airplane,airplane_single_engine_land,skids,Non-Powered,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17826,BE36,1977,Beechcraft,A36,airplane,airplane_single_engine_land,retractable_tricycle,Piston,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N33TN,BE33,,,,airplane,airplane_single_engine_land,retractable_tricycle,Piston,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N739ZY,C172,,Cessna,C172N,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N172DL,C172,,,C172M,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2973Z,7GCAA,1978,Bellanca,Citabria,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4665J,PA28R,1968,,PA28-181,airplane,airplane_single_engine_land,retractable_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3037T,C162,2011,Cessna,C162,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N53977,7GCBC,1976,Bellanca,Bellanca 7GCBC,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N65722,C172,,,C172P,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9987U,AA5A,,Grumman,AA5A,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
